TA6_1	TA6_2	TA6_3	TA6_4	TA6_5	TA6_6	WT6_1	WT6_2	WT6_3	WT6_4	WT6_5	WT6_6
NM_001039510	49	38	76	20	45	25	10	18	26	32	51	23
NM_001282945	49	39	76	20	45	25	10	18	26	32	51	23
NM_001008533	51	43	78	22	49	27	10	18	26	34	51	23
NM_001291930	37	33	70	20	41	25	10	18	25	32	50	23
NM_001291928	38	35	72	20	45	25	10	18	25	34	50	23
NR_149255	4581	4837	4228	4833	4370	4500	5317	4736	4004	4977	5211	5507
NM_175642	6	1	0	3	2	12	2	0	6	8	12	0
NM_001293804	37566	35123	35356	38273	36721	35493	41378	35836	30504	38205	40014	39417
NM_001289704	37469	35057	35305	38203	36618	35427	41280	35775	30431	38113	39904	39333
NM_027671	0	0	0	0	2	0	0	0	1	5	0	1
NM_001290392	0	0	0	0	1	0	0	0	1	5	0	1
NM_001290390	0	0	0	0	2	0	0	0	1	5	0	1
NM_009805	4644	4888	4298	4898	4414	4561	5363	4825	4038	5041	5256	5567
NM_008922	175	182	150	184	214	196	171	180	153	178	228	141
NM_001290393	0	0	0	0	2	0	0	0	1	5	0	1
NM_207653	37746	35289	35538	38428	36880	35669	41528	36031	30657	38396	40148	39595
NM_001355056	37683	35238	35468	38363	36836	35608	41482	35942	30623	38332	40103	39535
NM_001310679	86	111	53	68	109	104	101	111	77	81	112	84
NM_027677	103	75	51	54	50	87	45	48	48	46	80	86
NM_178884	129	169	92	116	147	134	149	129	107	130	167	124
NM_176916	0	5	0	0	0	6	4	0	4	2	6	2
NM_001195816	0	5	0	0	0	6	4	0	1	2	6	2
NM_181546	0	0	0	0	0	10	0	0	0	0	0	0
NM_001301370	0	0	0	0	0	10	0	0	0	0	0	0
NR_040472	4	9	23	21	23	22	20	20	7	12	31	23
NM_033652	36	10	20	18	15	21	24	22	16	15	9	36
NM_001357845	0	5	0	0	0	6	4	0	1	2	6	2
NM_001357844	0	5	0	0	0	6	4	0	4	2	6	2
NM_001357847	0	5	0	0	0	6	4	0	1	2	6	2
NM_001357846	0	5	0	0	0	6	4	0	4	2	6	2
NM_001370921	0	0	12	0	0	0	0	0	0	0	0	0
NM_001289497	10	4	0	4	4	8	0	2	0	2	6	8
NM_177173	2	8	8	0	6	10	0	0	2	0	0	0
NM_001160371	4	10	18	0	6	14	0	0	2	0	3	0
NM_001374633	2	8	8	0	6	10	0	0	2	0	0	0
NM_001310451	2	8	8	0	6	10	0	0	2	0	0	0
NM_177834	10	4	0	4	4	8	0	2	0	2	6	8
NM_001160370	4	10	18	0	6	14	0	0	2	0	3	0
NM_001160369	2	8	8	0	6	10	0	0	2	0	0	0
NM_001374634	2	8	8	0	6	10	0	0	2	0	0	0
NM_145381	670	621	797	709	648	582	483	515	492	683	620	577
NM_027974	18	26	10	14	20	10	12	18	6	25	22	19
NM_133235	0	0	0	0	0	0	0	0	0	0	0	0
NR_040465	11	2	3	0	4	7	8	4	6	1	6	6
NM_146107	3058	2828	3000	2974	3486	2755	2762	2638	2201	2788	3296	2905
NM_001029878	8	0	0	2	0	0	0	0	4	6	2	0
NM_001368717	9	12	4	25	2	11	8	6	6	9	8	18
NR_151585	0	0	0	0	0	0	0	0	0	0	0	0
NM_053107	0	0	0	0	0	0	0	0	1	0	0	0
NM_001114663	172	238	232	256	177	186	177	146	145	167	224	143
NM_001252070	0	8	0	0	2	1	0	0	0	0	0	2
NM_001163314	244	291	327	289	289	367	326	285	289	322	427	390
NM_001081050	209	219	239	234	257	217	144	169	176	180	189	144
NM_007561	5401	6862	7015	6060	5997	6039	4333	4656	3984	4508	4928	4420
NM_176972	983	1048	1100	1057	1114	1103	965	1052	942	977	1125	1141
NM_001357520	54	43	67	94	57	44	48	36	33	32	68	53
NM_001357519	54	43	67	94	57	44	48	36	33	32	68	53
NR_003202	2	0	0	0	2	2	0	0	0	0	0	0
NM_009533	54	43	67	94	57	44	48	36	33	32	68	53
NM_010154	0	6	9	0	4	10	9	0	2	0	2	0
NR_040605	0	0	0	0	0	0	0	0	0	0	0	0
NM_001310662	984	1048	1101	1057	1116	1103	964	1050	940	976	1126	1140
NM_025728	0	0	0	0	0	0	0	0	0	0	0	1
NM_175210	200	160	44	197	126	121	90	232	102	102	114	81
NM_029160	0	0	0	3	0	0	0	0	0	0	0	1
NM_175291	6659	7157	6466	6773	6613	6631	6438	5962	4586	5853	6283	6109
NM_201644	2455	1993	1987	2245	2076	2145	2248	2071	1972	2274	2528	2372
NM_133816	1455	1473	1831	1521	1850	1513	1014	1126	1121	1067	1247	1168
NM_001172157	358	313	358	324	368	326	336	317	288	326	370	338
NM_201641	2453	1999	1985	2245	2076	2145	2248	2071	1971	2274	2526	2372
NM_027921	4	0	0	8	8	8	0	7	5	2	4	6
NM_153530	358	313	358	323	368	326	336	317	288	326	370	338
NM_080850	46	54	59	67	84	52	30	30	37	29	49	45
NM_001199213	12	6	0	10	2	4	2	2	5	0	5	2
NM_011800	0	0	0	0	0	12	0	0	4	5	2	3
NM_027971	14	6	0	10	2	4	2	2	5	0	6	2
NM_001316744	0	0	0	0	0	0	0	0	0	0	0	0
NM_001316743	0	0	0	0	0	0	0	0	0	0	0	0
NM_001077425	0	5	0	1	0	4	2	1	0	0	0	0
NM_172853	0	0	0	0	0	0	0	0	0	0	0	0
NM_001371013	0	5	0	1	0	4	2	1	0	0	0	0
